"module name","license","repository"
"@11ty/dependency-tree-esm@2.0.4","MIT","https://github.com/11ty/eleventy-utils"
"@11ty/dependency-tree@4.0.2","MIT","https://github.com/11ty/eleventy-dependency-tree"
"@11ty/eleventy-dev-server@2.0.8","MIT","https://github.com/11ty/eleventy-dev-server"
"@11ty/eleventy-plugin-bundle@3.0.7","MIT","https://github.com/11ty/eleventy-plugin-bundle"
"@11ty/eleventy-plugin-rss@2.0.4","MIT","https://github.com/11ty/eleventy-plugin-rss"
"@11ty/eleventy-utils@2.0.7","MIT","https://github.com/11ty/eleventy-utils"
"@11ty/eleventy@3.1.6","MIT","https://github.com/11ty/eleventy"
"@11ty/lodash-custom@4.17.21","MIT","https://github.com/11ty/lodash-custom"
"@11ty/posthtml-urls@1.0.3","MIT","https://github.com/11ty/eleventy-posthtml-urls"
"@11ty/recursive-copy@4.0.4","ISC","https://github.com/11ty/recursive-copy"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-win32-x64@0.35.4","Apache-2.0 AND LGPL-3.0-or-later","https://github.com/lovell/sharp"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.6.0","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@npmcli/fs@3.1.1","ISC","https://github.com/npm/fs"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@sindresorhus/slugify@2.2.1","MIT","https://github.com/sindresorhus/slugify"
"@sindresorhus/transliterate@1.6.0","MIT","https://github.com/sindresorhus/transliterate"
"@types/linkify-it@5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/markdown-it@14.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdurl@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"a-sync-waterfall@1.0.1","MIT","https://github.com/hydiak/a-sync-waterfall"
"abbrev@2.0.0","ISC","https://github.com/npm/abbrev-js"
"acorn-walk@8.3.5","MIT","https://github.com/acornjs/acorn"
"acorn@8.18.0","MIT","https://github.com/acornjs/acorn"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.3.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.3","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"argparse@3.0.1","PSF-2.0","https://github.com/nodeca/argparse"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"async@3.2.6","MIT","https://github.com/caolan/async"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"bcp-47-match@2.0.3","MIT","https://github.com/wooorm/bcp-47-match"
"bcp-47-normalize@2.3.0","MIT","https://github.com/wooorm/bcp-47-normalize"
"bcp-47@2.1.1","MIT","https://github.com/wooorm/bcp-47"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"brace-expansion@1.1.18","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.1.4","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"camel-case@4.1.2","MIT","https://github.com/blakeembrey/change-case"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"clean-css@5.3.3","MIT","https://github.com/clean-css/clean-css"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@10.0.1","MIT","https://github.com/tj/commander.js"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"commander@5.1.0","MIT","https://github.com/tj/commander.js"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"corser@2.0.1","MIT","https://github.com/agrueneberg/Corser"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"dependency-graph@1.0.0","MIT","https://github.com/jriecken/dependency-graph"
"detect-libc@2.1.2","Apache-2.0","https://github.com/lovell/detect-libc"
"dom-serializer@1.4.1","MIT","https://github.com/cheeriojs/dom-renderer"
"domelementtype@2.3.0","BSD-2-Clause","https://github.com/fb55/domelementtype"
"domhandler@4.3.1","BSD-2-Clause","https://github.com/fb55/domhandler"
"domutils@2.8.0","BSD-2-Clause","https://github.com/fb55/domutils"
"dot-case@3.0.4","MIT","https://github.com/blakeembrey/change-case"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"entities@2.2.0","BSD-2-Clause","https://github.com/fb55/entities"
"entities@3.0.1","BSD-2-Clause","https://github.com/fb55/entities"
"entities@4.5.0","BSD-2-Clause","https://github.com/fb55/entities"
"entities@6.0.1","BSD-2-Clause","https://github.com/fb55/entities"
"entities@8.0.0","BSD-2-Clause","https://github.com/fb55/entities"
"errno@1.0.0","MIT","https://github.com/rvagg/node-errno"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.2","MIT","https://github.com/ljharb/es-object-atoms"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@5.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"esm-import-transformer@3.0.5","MIT","https://github.com/zachleat/esm-import-transformer"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"evaluate-value@2.0.0","MIT","https://github.com/stevenvachon/evaluate-value"
"eventemitter3@4.0.7","MIT","https://github.com/primus/eventemitter3"
"extend-shallow@2.0.1","MIT","https://github.com/jonschlinkert/extend-shallow"
"fdir@6.5.0","MIT","https://github.com/thecodrr/fdir"
"filesize@10.1.6","BSD-3-Clause","https://github.com/avoidwork/filesize.js"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.3.2","MIT","https://github.com/pillarjs/finalhandler"
"follow-redirects@1.16.0","MIT","https://github.com/follow-redirects/follow-redirects"
"foreground-child@3.3.1","ISC","https://github.com/tapjs/foreground-child"
"fresh@2.0.0","MIT","https://github.com/jshttp/fresh"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"geosustara-website@1.0.0","UNLICENSED",""
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@10.5.0","ISC","https://github.com/isaacs/node-glob"
